date,min,max,pm25,q1,q3,stdev,count
2020-12-26T00:00:00.000Z,0.56,6.93,2.1,1.4,2.95,1.077,295
2020-12-27T00:00:00.000Z,0.5,22.85,1.8,1.05,8.32,5.879,303
2020-12-28T00:00:00.000Z,1,9.44,3.25,2.25,4.48,1.738,297
2020-12-29T00:00:00.000Z,0.95,6.05,2.1,1.67,2.63,0.732,287
2020-12-30T00:00:00.000Z,0.3,4.82,1.75,1.4,2.33,0.799,294
2020-12-31T00:00:00.000Z,0.98,301.83,3.96,2.66,15.55,30.822,312
2021-01-01T00:00:00.000Z,0.73,121.22,2.2,1.65,3.46,25.315,296
2021-01-02T00:00:00.000Z,1,6.38,2.08,1.67,2.8,0.898,271
2021-01-03T00:00:00.000Z,0.55,13.48,1.8,1.08,3.94,1.917,276
2021-01-04T00:00:00.000Z,0.43,7.57,1.65,1,2.88,1.655,277
2021-01-05T00:00:00.000Z,0.3,12.13,1.37,0.75,4.72,2.477,266
2021-01-06T00:00:00.000Z,0.3,13.1,1.57,0.9,5.09,2.325,272
2021-01-07T00:00:00.000Z,1.55,19.07,6.51,4.88,9.6,4.801,274
2021-01-08T00:00:00.000Z,3.88,12.65,7.47,6.55,8.69,1.863,286
2021-01-09T00:00:00.000Z,2.15,13.93,4.72,3.63,6.57,1.737,287
2021-01-10T00:00:00.000Z,1.1,5.25,2.29,1.8,3.03,0.875,281
2021-01-11T00:00:00.000Z,1.8,11.18,3.9,3,5.74,1.895,264
2021-01-12T00:00:00.000Z,2.22,25.05,7.39,6.15,9.05,4.241,274
2021-01-13T00:00:00.000Z,2.1,24.95,11.23,5.72,14.82,5.953,270
2021-01-14T00:00:00.000Z,3,24.95,7.9,5.25,16.25,6.169,259
2021-01-15T00:00:00.000Z,1.73,26.95,4.09,2.95,6.7,7.618,279
2021-01-16T00:00:00.000Z,0.63,6.85,1.4,1.14,3.82,1.869,269
2021-01-17T00:00:00.000Z,2.54,17.2,7.63,5.57,9.44,3.581,251
2021-01-18T00:00:00.000Z,1.25,31.13,5.96,4.05,10.4,8.354,242
2021-01-19T00:00:00.000Z,0.82,26.13,8.11,4.75,10.85,4.574,214
2021-01-20T00:00:00.000Z,1.38,6.32,3.41,2.46,4.22,1.1,264
2021-01-21T00:00:00.000Z,3,7.68,5.13,4.53,5.7,0.897,243
2021-01-22T00:00:00.000Z,3.03,10.98,5.88,5.01,6.94,1.395,261
2021-01-23T00:00:00.000Z,1.7,8.44,4.05,3.15,4.95,1.259,260
2021-01-24T00:00:00.000Z,0.5,6.5,2.52,1.8,3.42,1.188,281
2021-01-25T00:00:00.000Z,0.7,7.32,2.96,2.33,3.72,1.141,242
2021-01-26T00:00:00.000Z,0.55,25.9,2.75,1.4,5.05,4.281,279
2021-01-27T00:00:00.000Z,1.1,27.38,8.06,3.85,16.5,7.197,252
2021-01-28T00:00:00.000Z,1,19.07,7.23,4.15,9.43,4.578,290
2021-01-29T00:00:00.000Z,2.92,18.17,6.87,4.93,10.54,3.886,252
2021-01-30T00:00:00.000Z,2.45,11.7,4.55,3.7,5.78,1.494,266
2021-01-31T00:00:00.000Z,0.56,12.65,4.13,2.75,6.68,2.683,281
2021-02-01T00:00:00.000Z,1.4,22.35,5.13,3.01,10.19,4.744,229
2021-02-02T00:00:00.000Z,1.23,18.92,8,4.25,14.32,5.113,251
2021-02-03T00:00:00.000Z,2.29,12.98,5.2,4.01,7.54,2.556,237
2021-02-04T00:00:00.000Z,1.67,19.67,3.4,2.75,6.4,4.473,269
2021-02-05T00:00:00.000Z,2.38,24.45,11.21,6.95,16.27,6.345,236
2021-02-06T00:00:00.000Z,1.9,16.89,4.43,3.2,10.1,4.288,247
2021-02-07T00:00:00.000Z,1.9,16.13,3.81,2.92,6.37,2.793,240
2021-02-08T00:00:00.000Z,1.14,7.75,2.65,2.13,3.22,0.847,262
2021-02-09T00:00:00.000Z,0.9,11.07,2.83,2.02,4.54,1.943,241
2021-02-10T00:00:00.000Z,0.9,9.07,4.68,3.72,5.53,1.496,243
2021-02-11T00:00:00.000Z,1.7,17.87,4.9,3.49,9.63,3.862,233
2021-02-12T00:00:00.000Z,2.83,16.8,5.43,4.45,7.1,2.843,278
2021-02-13T00:00:00.000Z,0.3,10.07,1.3,0.69,1.95,1.702,257
2021-02-14T00:00:00.000Z,0.8,4.28,1.4,1.13,1.8,0.709,244
2021-02-15T00:00:00.000Z,0.7,27.27,1.58,1.2,5.03,4.521,250
2021-02-16T00:00:00.000Z,1.5,15.65,8.41,5.09,11.02,3.447,238
2021-02-17T00:00:00.000Z,0.9,35.45,9.94,2.6,15.7,8.285,235
2021-02-18T00:00:00.000Z,1.85,31.98,9.25,4.18,14.55,8.009,269
2021-02-19T00:00:00.000Z,1.1,24.95,13.73,2.5,16.6,7.353,243
2021-02-20T00:00:00.000Z,1.5,20.13,10.38,2.46,14.72,5.978,249
2021-02-21T00:00:00.000Z,5.03,30.7,18.27,14.4,20.73,6.396,263
